DATE,year,quarter,REGN,BANK,Bank_Size,ROE,ROA,NIM,CIR,CAR,LTD,NPLR,Z-score,Z-score_RWA,loan_share,deposit_share,dep_to_assets,Leverage,Net_Profit_Margin,Asset_Turnover,Tax_Burder,Н1.0,Н2,Н3,Н4,Н7,sys_importance,SDN-list_2014,SSI-list_2014,SWIFT,SDN-list_2022,SANCTIONS_2014,SANCTIONS_2022,SANCTIONS,Bank_Size_LAG1,ROE_LAG1,ROA_LAG1,NIM_LAG1,CIR_LAG1,CAR_LAG1,LTD_LAG1,NPLR_LAG1,Z-score_LAG1,Z-score_RWA_LAG1,loan_share_LAG1,deposit_share_LAG1,dep_to_assets_LAG1,Leverage_LAG1,Net_Profit_Margin_LAG1,Asset_Turnover_LAG1,Tax_Burder_LAG1,Н1.0_LAG1,Н2_LAG1,Н3_LAG1,Н4_LAG1,Н7_LAG1,SDN-list_2014_LAG1,SSI-list_2014_LAG1,SWIFT_LAG1,SDN-list_2022_LAG1,SANCTIONS_2014_LAG1,SANCTIONS_2022_LAG1,SANCTIONS_LAG1,quarter_2,quarter_3,quarter_4
2020-10-01,2020,3,2789,МС БАНК РУС,17.50158242449008,10.256046677690374,1.0607966023943027,0.0019436354831957,2.275456702534924,10.343133526311044,1.226535143171357,3.239859101689417,5.22661044176336,6.626248129735218,71.45598256551982,0.5825840618048792,58.25840618048792,9.66824993079885,6.354192758969295,16.694435353679342,87.60997082628492,13.397,102.203,80.366,108.754,30.551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,17.42639555114774,5.076203181758452,0.5544182508494468,0.0009910353415673,2.4875601937577687,10.921908186058666,1.317756785395476,2.542659014658773,5.259790871328185,6.197090390746061,78.32907310300106,0.5944122160561934,59.44122160561934,9.155909232751616,4.7973619280377005,11.556731786467996,72.1174534869004,12.967,101.026,74.977,107.948,45.297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False
2021-01-01,2020,4,2789,МС БАНК РУС,17.5848256809939,17.361573623914197,1.7336232347755318,0.012213973279784,2.284591562427732,9.98540381378565,1.1907308110344563,3.373458781077173,5.371024589596529,7.136733360827978,67.34378361058782,0.5655668181801929,56.55668181801929,10.014617522221984,8.276138820893701,20.947246926294625,85.0693996382299,13.838,87.1,99.577,108.986,58.397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,17.50158242449008,10.256046677690374,1.0607966023943027,0.0019436354831957,2.275456702534924,10.343133526311044,1.226535143171357,3.239859101689417,5.22661044176336,6.626248129735218,71.45598256551982,0.5825840618048792,58.25840618048792,9.66824993079885,6.354192758969295,16.694435353679342,87.60997082628492,13.397,102.203,80.366,108.754,30.551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True
2021-04-01,2021,1,2789,МС БАНК РУС,17.445082611407464,4.565342920386687,0.5325137244841264,0.0065125719507569,2.32258402691049,11.664265615320351,1.2210980241911265,3.494745549581669,5.589986393624353,6.360294856203004,79.17113710886112,0.6483602097489697,64.83602097489697,8.573192972273855,9.263904047477856,5.748264681445033,86.47554224912227,13.345,95.041,88.418,112.687,75.876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,17.5848256809939,17.361573623914197,1.7336232347755318,0.012213973279784,2.284591562427732,9.98540381378565,1.1907308110344563,3.373458781077173,5.371024589596529,7.136733360827978,67.34378361058782,0.5655668181801929,56.55668181801929,10.014617522221984,8.276138820893701,20.947246926294625,85.0693996382299,13.838,87.1,99.577,108.986,58.397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
2021-07-01,2021,2,2789,МС БАНК РУС,17.521897483007105,8.163129309131842,0.8907577702952099,0.0117787385399251,1.9539860352365104,10.91196447542178,1.2144494094196463,3.3828436213304327,5.409383487489009,6.365448189008502,76.17752610058378,0.6272597731097505,62.72597731097505,9.164252708597155,8.085845600123095,11.01625994789771,80.77037881859209,12.998,67.377,86.882,111.013,84.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,17.445082611407464,4.565342920386687,0.5325137244841264,0.0065125719507569,2.32258402691049,11.664265615320351,1.2210980241911265,3.494745549581669,5.589986393624353,6.360294856203004,79.17113710886112,0.6483602097489697,64.83602097489697,8.573192972273855,9.263904047477856,5.748264681445033,86.47554224912227,13.345,95.041,88.418,112.687,75.876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False
2021-10-01,2021,3,2789,МС БАНК РУС,17.644596964117532,12.543593765325618,1.2588418524580636,0.0176084446115498,1.978785305870408,10.035735180916754,1.1590591233422125,3.305763618347853,5.176492103309583,6.4947320054339,70.31106480322073,0.6066219003606547,60.66219003606547,9.964392064684302,8.56874549986481,14.691086956403646,85.64435988297402,12.912,75.219,92.428,112.209,95.108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,17.521897483007105,8.163129309131842,0.8907577702952099,0.0117787385399251,1.9539860352365104,10.91196447542178,1.2144494094196463,3.3828436213304327,5.409383487489009,6.365448189008502,76.17752610058378,0.6272597731097505,62.72597731097505,9.164252708597155,8.085845600123095,11.01625994789771,80.77037881859209,12.998,67.377,86.882,111.013,84.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False
2022-01-01,2021,4,2789,МС БАНК РУС,17.77108145846764,14.34086356047306,1.2769317425983142,0.0232926506256029,1.961576796272348,8.904148186151437,1.097369896651678,3.227538832225395,4.666157900256433,6.44481669457333,62.44500746866938,0.5690424683527688,56.904246835276886,11.23072054837647,7.101907955403336,17.98012239269854,75.08137106443823,12.785,99.429,107.277,109.898,108.336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,17.644596964117532,12.543593765325618,1.2588418524580636,0.0176084446115498,1.978785305870408,10.035735180916754,1.1590591233422125,3.305763618347853,5.176492103309583,6.4947320054339,70.31106480322073,0.6066219003606547,60.66219003606547,9.964392064684302,8.56874549986481,14.691086956403646,85.64435988297402,12.912,75.219,92.428,112.209,95.108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True
2023-07-01,2023,2,2789,МС БАНК РУС,17.723140648655836,5.37706688812199,0.66958296963916,0.0276977861204303,1.9728005028939664,12.452569097071812,0.4465949757705534,3.615836274000773,6.014100072188394,15.756275134469188,29.462050416348973,0.6597040274695266,65.97040274695266,8.030471400758156,7.369551330920481,18.1059849464812,86.70039406432483,33.709,166.289,107.488,103.652,108.14358139534885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,17.77108145846764,14.34086356047306,1.2769317425983142,0.0232926506256029,1.961576796272348,8.904148186151437,1.097369896651678,3.227538832225395,4.666157900256433,6.44481669457333,62.44500746866938,0.5690424683527688,56.904246835276886,11.23072054837647,7.101907955403336,17.98012239269854,75.08137106443823,12.785,99.429,107.277,109.898,108.336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False
2023-10-01,2023,3,2789,МС БАНК РУС,17.808217499281348,-0.3746215649994699,-0.0401004320717776,0.0276977861204303,1.9728005028939664,10.704250854281266,0.4009266763339734,3.9967093039802464,4.887557124622873,15.710588577083028,23.881987131294423,0.5956696957575514,59.56696957575514,9.342083006210943,7.369551330920481,18.1059849464812,-47.44700822982384,34.319,169.164,104.468,101.595,108.14358139534885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,17.723140648655836,5.37706688812199,0.66958296963916,0.0276977861204303,1.9728005028939664,12.452569097071812,0.4465949757705534,3.615836274000773,6.014100072188394,15.756275134469188,29.462050416348973,0.6597040274695266,65.97040274695266,8.030471400758156,7.369551330920481,18.1059849464812,86.70039406432483,33.709,166.289,107.488,103.652,108.14358139534885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False
2024-01-01,2023,4,2789,МС БАНК РУС,17.826670031790968,7.817215218208127,0.8855433467433185,0.1188041781743527,1.3701244746930392,11.328117776272558,0.3906809497084961,4.2574641347600055,5.59772359504636,19.558909774672173,20.43102434450881,0.5229593191004905,52.295931910049056,8.827591836082087,3.707181802237991,23.88723817668517,75.95968007556878,41.79,111.73,104.536,85.605,108.14358139534885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,17.808217499281348,-0.3746215649994699,-0.0401004320717776,0.0276977861204303,1.9728005028939664,10.704250854281266,0.4009266763339734,3.9967093039802464,4.887557124622873,15.710588577083028,23.881987131294423,0.5956696957575514,59.56696957575514,9.342083006210943,7.369551330920481,18.1059849464812,-47.44700822982384,34.319,169.164,104.468,101.595,108.14358139534885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True
2024-04-01,2024,1,2789,МС БАНК РУС,17.66243371140483,5.873105197809756,0.8280380061813888,0.0596867049187423,1.2276340100801382,14.09881107680801,0.3616230650672804,4.495885416917165,6.841222666157745,21.102288465260447,22.19047937194409,0.6136356199462973,61.36356199462973,7.092796651803929,9.155862194626591,9.04380154025635,91.89095078146096,45.215,119.128,102.229,75.771,108.14358139534885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,17.826670031790968,7.817215218208127,0.8855433467433185,0.1188041781743527,1.3701244746930392,11.328117776272558,0.3906809497084961,4.2574641347600055,5.59772359504636,19.558909774672173,20.43102434450881,0.5229593191004905,52.295931910049056,8.827591836082087,3.707181802237991,23.88723817668517,75.95968007556878,41.79,111.73,104.536,85.605,108.14358139534885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
